Date,Calories
2024-01-01,1800
2024-01-01,2100
2024-01-01,1950
2024-01-02,1850
2024-01-02,2000
2024-01-02,1900
2024-01-03,1900
2024-01-03,2050
2024-01-03,1950
2024-01-04,2000
2024-01-04,2100
2024-01-04,1980
2024-01-05,1900
2024-01-05,2150
2024-01-05,2000
2024-01-06,2050
2024-01-06,1980
2024-01-06,1900
2024-01-07,2100
2024-01-07,2200
2024-01-07,1950
2024-01-08,2000
2024-01-08,1900
2024-01-08,2050
2024-01-09,1980
2024-01-09,2000
2024-01-09,2100
2024-01-10,2200
2024-01-10,1950
2024-01-10,2100
2024-01-11,1900
2024-01-11,2050
2024-01-11,1980
2024-01-12,2000
2024-01-12,2100
2024-01-12,1900
2024-01-13,2150
2024-01-13,2050
2024-01-13,1980
2024-01-14,2000
2024-01-14,2100
2024-01-14,1900
2024-01-15,2200
2024-01-15,1950
2024-01-15,2100
2024-01-16,2050
2024-01-16,1900
2024-01-16,2150
2024-01-17,1980
2024-01-17,2000
2024-01-17,2050
2024-01-18,2100
2024-01-18,1900
2024-01-18,1980
2024-01-19,2000
2024-01-19,2100
2024-01-19,1900
2024-01-20,2150
2024-01-20,2000
2024-01-20,1980
2024-01-21,2200
2024-01-21,1950
2024-01-21,2100
2024-01-22,2050
2024-01-22,1900
2024-01-22,2150
2024-01-23,1980
2024-01-23,2050
2024-01-23,1900
2024-01-24,2000
2024-01-24,2100
2024-01-24,1950
2024-01-25,1900
2024-01-25,2150
2024-01-25,2000
2024-01-26,2050
2024-01-26,1980
2024-01-26,1900
2024-01-27,2100
2024-01-27,2200
2024-01-27,1950
2024-01-28,2000
2024-01-28,1900
2024-01-28,2050
2024-01-29,1980
2024-01-29,2000
2024-01-29,2100
2024-01-30,2200
2024-01-30,1950
2024-01-30,2100
2024-01-31,1900
2024-01-31,2050
2024-01-31,1980
2024-02-01,2000
2024-02-01,2100
2024-02-01,1900
2024-02-02,2150
2024-02-02,2050
2024-02-02,1980
2024-02-03,2000
2024-02-03,2100
2024-02-03,1900
2024-02-04,2200
2024-02-04,1950
2024-02-04,2100
2024-02-05,2050
2024-02-05,1900
2024-02-05,2150
2024-02-06,1980
2024-02-06,2050
2024-02-06,1900
2024-02-07,2000
2024-02-07,2100
2024-02-07,1950
2024-02-08,1900
2024-02-08,2150
2024-02-08,2000
2024-02-09,2050
2024-02-09,1980
2024-02-09,1900
2024-02-10,2100
2024-02-10,2200
2024-02-10,1950
2024-02-11,2000
2024-02-11,1900
2024-02-11,2050
2024-02-12,1980
2024-02-12,2000
2024-02-12,2100
2024-02-13,2200
2024-02-13,1950
2024-02-13,2100
2024-02-14,2050
2024-02-14,1980
2024-02-14,1900
2024-02-15,2000
2024-02-15,2100
2024-02-15,1900
2024-02-16,2150
2024-02-16,2000
2024-02-16,1980
2024-02-17,2200
2024-02-17,1950
2024-02-17,2100
2024-02-18,2050
2024-02-18,1900
2024-02-18,2150
2024-02-19,1980
2024-02-19,2050
2024-02-19,1900
2024-02-20,2000
2024-02-20,2100
2024-02-20,1950
2024-02-21,1900
2024-02-21,2150
2024-02-21,2000
2024-02-22,2050
2024-02-22,1980
2024-02-22,1900
2024-02-23,2100
2024-02-23,2200
2024-02-23,1950
2024-02-24,2000
2024-02-24,1900
2024-02-24,2050
2024-02-25,1980
2024-02-25,2000
2024-02-25,2100
2024-02-26,2200
2024-02-26,1950
2024-02-26,2100
2024-02-27,1900
2024-02-27,2050
2024-02-27,1980
2024-02-28,2000
2024-02-28,2100
2024-02-28,1900
2024-02-29,2150
2024-02-29,2050
2024-02-29,1980
2024-03-01,2000
2024-03-01,2100
2024-03-01,1900
2024-03-02,2200
2024-03-02,1950
2024-03-02,2100
2024-03-03,2050
2024-03-03,1900
